Price,Close,High,Low,Open,Volume
Ticker,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS
Date,,,,,
2005-01-03,32.83374786376953,32.9718497176532,31.936084167221722,31.936084167221722,1421010
2005-01-04,32.747432708740234,33.14447842649595,32.28134100177062,32.98911342663675,1115825
2005-01-05,31.806610107421875,32.790589454593345,30.650005923918844,32.790589454593345,1163085
2005-01-06,31.961971282958984,32.79921546828372,30.555059937496704,31.78071325086001,1192610
2005-01-07,32.81648635864258,33.12721636854432,31.185157099266526,31.185157099266526,1530260
2005-01-10,33.1617431640625,33.66236452462436,32.712914534562955,33.09269387206582,1267765
2005-01-11,32.44533920288086,33.29984678837937,31.76345977827792,32.88553788518668,840515
2005-01-12,31.305988311767578,32.48848541701749,30.74494778474877,32.12596935409996,813470
2005-01-13,30.322021484375,31.62535766868433,29.34667518141529,31.07295019208678,2944635
2005-01-14,32.61796951293945,33.14448395668868,30.468755518027205,30.503281811002882,3135360
2005-01-17,33.96445846557617,34.69812729794481,32.13460793289012,33.317105356631714,4946040
2005-01-18,34.27518844604492,35.90651775192849,33.85225292587194,34.78443968954476,5393870
2005-01-19,33.77457046508789,34.870755458202666,33.40342108582036,34.49097286028714,1284450
2005-01-20,32.98047637939453,33.95582247802371,32.47122522622789,33.95582247802371,1227895
2005-01-24,35.285064697265625,36.19135848502822,32.62659940771293,33.36889824291553,3109595
2005-01-25,34.30108642578125,35.38863825008497,34.0076195378567,35.38863825008497,1605020
2005-01-27,35.647579193115234,35.906519792595766,34.36150612223163,34.61181350258474,1910595
2005-01-28,35.414520263671875,35.99282393250803,35.086530479814,35.99282393250803,873020
2005-01-31,35.56989288330078,36.25177224673918,35.22463988508712,35.80294038571421,1530985
2005-02-01,35.2936897277832,36.07914467388975,34.11119234575644,36.07914467388975,2379935
2005-02-02,37.15806579589844,37.788155726261124,34.87075357624342,35.388634718495275,3165625
2005-02-03,38.77212905883789,39.07422911373806,36.94227875736437,37.460163154647056,3884995
2005-02-04,38.8411865234375,41.430598958333334,38.15067719932025,38.996551532939904,2528320
2005-02-07,38.55634307861328,39.609371678342626,38.02119885416732,38.84117997891028,830040
2005-02-08,39.6352653503418,40.18767601760671,35.48357682309162,35.48357682309162,2233545
2005-02-09,39.88557434082031,40.394825485883565,39.18643522635905,40.13588495117171,1239290
2005-02-10,38.87571716308594,40.135897232193265,38.49593452286668,39.531700271251445,485370
