Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Date,,,,,
2005-01-03,307.0675354003906,308.5746529383851,294.2698677028308,296.3134084507671,544531
2005-01-04,312.6617126464844,314.7052532520169,264.1276232650857,264.1276232650857,546652
2005-01-05,289.16094970703125,308.0636973027206,282.0085587248785,307.55281223256685,1260932
2005-01-06,294.4486999511719,297.8460993201466,284.0521976363662,289.16105011184044,600516
2005-01-07,292.45623779296875,297.3351851968345,289.46754067588773,295.8025296030364,412066
2005-01-10,294.3720703125,296.3134279141664,288.65014960604145,296.28788988953124,194179
2005-01-11,291.7664794921875,295.8024844120415,286.7853495733319,293.2480588126284,258987
2005-01-12,281.0635070800781,295.8025327231186,276.38889499690356,293.75899190983284,218311
2005-01-13,283.1325378417969,288.1392057478332,277.5894156177954,284.05212481523984,696707
2005-01-14,267.98492431640625,283.54139063350317,263.61686048087864,283.54139063350317,1323674
2005-01-17,266.60546875,273.32362260072824,262.77382918083094,273.32362260072824,355897
2005-01-18,273.8089599609375,277.7683207060914,260.55148129399765,270.76918644278186,535547
2005-01-19,277.2318420410156,279.4541799941467,271.3566627541186,272.3017878187938,476896
2005-01-20,274.345458984375,277.2319739585815,270.0795783798455,277.2319739585815,233280
2005-01-24,262.5694274902344,275.31601814200303,261.1644933362348,274.34532389009416,310108
2005-01-25,267.7549133300781,270.4626297596262,243.30906966917107,243.30906966917107,853635
2005-01-27,275.8780212402344,282.0086439344618,267.70385764793116,273.3235951176396,711695
2005-01-28,271.484375,280.4759409624442,267.7038125033165,280.4759409624442,490910
2005-01-31,274.9073181152344,278.4324385253107,270.7691604007609,278.12591987311214,347239
2005-02-01,271.5099182128906,280.83357216635966,256.0045508487891,256.0045508487891,377106
2005-02-02,270.74365234375,276.337852230252,269.2620726028997,272.3018461651507,294661
2005-02-03,272.78717041015625,275.62257715468843,271.28005276948943,273.1703343264973,291498
