Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2005-01-03,92.189697265625,92.5086927578936,91.29651378126087,92.5086927578936,846383
2005-01-04,93.33808898925781,94.80547029508449,91.96640244327986,92.50869870901052,1777742
2005-01-05,92.22159576416016,94.35885965190556,90.65851984984616,93.65707543270823,1335778
2005-01-06,90.4990463256836,92.0302211545433,89.3825618402732,91.87072337091324,1693246
2005-01-07,89.98863983154297,91.87071148794772,89.66964430554314,90.11623609494872,731186
2005-01-10,91.07323455810547,91.99831975723541,89.988651575161,90.27574563903275,2032592
2005-01-11,90.05242156982422,91.711201986702,89.63773133308959,90.91371327377415,1058761
2005-01-12,88.93596649169922,91.04133933017708,86.83060338819418,90.0524510553646,2418238
2005-01-13,89.35067749023438,89.95676723739221,88.04279346638387,89.28687447054449,1213667
2005-01-14,89.41443634033203,90.14813184431432,88.42555806078633,89.6377370882767,1193545
2005-01-17,89.4782485961914,91.58362109839017,88.39366571171666,89.25494782513574,4639274
2005-01-18,90.97753143310547,91.80691204485393,89.35065224049586,90.27573735473386,2081319
2005-01-19,90.62661743164062,91.32840164369037,90.08432122394676,90.754213676107,1371947
2005-01-20,90.69044494628906,91.16893834502427,89.51016707039278,89.63776336306087,1627427
2005-01-24,94.13558197021484,94.8692677883695,90.08433488308889,90.08433488308889,3124420
2005-01-25,95.37969207763672,95.63488468418932,93.49761983313299,94.03990655580074,2277253
2005-01-27,96.71945190429688,98.21872510569023,94.74167565653555,95.5072630077759,2910733
2005-01-28,97.70833587646484,98.47393300642436,96.36856036897947,96.71945743104894,2494146
2005-01-31,101.95098114013672,102.14238041978402,97.70833442534642,98.25063076185184,3439520
2005-02-01,107.43769836425781,108.45848802792105,100.80259475536191,102.71656807350169,6434002
2005-02-02,105.04524230957031,107.69291150764333,104.31155635761894,107.69291150764333,1946027
2005-02-03,105.65132904052734,106.54451267797083,103.3545572085705,106.54451267797083,1127671
2005-02-04,105.84273529052734,108.71369566623756,105.33235012282397,108.33090679046003,1812579
2005-02-07,103.41838836669922,107.82052421892605,103.03558971216898,106.54454168379084,1278033
2005-02-08,102.07857513427734,104.31154396533967,101.18539149584103,103.48215359537936,1015870
2005-02-09,102.36566925048828,104.18394776531096,101.12158856217506,102.7165662997488,1918437
2005-02-10,98.25059509277344,102.68462974249911,97.61260421554763,102.68462974249911,3552560
2005-02-11,99.17570495605469,100.41978553373696,95.69865574433788,98.88861093581582,6326568
2005-02-14,96.84703826904297,100.64308287090392,96.11334275895433,99.97319035646485,3459049
2005-02-15,97.07038116455078,98.44206842437188,96.36859651217827,96.94278484002628,1546698
2005-02-16,91.80690002441406,98.18680995620016,91.26461352119424,97.61262195632742,3291286
2005-02-17,92.47676849365234,93.40185324647904,91.83877766619014,92.47676849365234,1555276
2005-02-18,92.34920501708984,93.40188636163825,91.29652367254143,93.14669383416314,1640307
2005-02-21,91.00942993164062,93.59329593046677,90.59473959508853,93.59329593046677,881403
2005-02-22,92.79581451416016,93.46570719531913,90.11625352449711,90.84993948221187,2118307
2005-02-23,91.80690002441406,93.59327675230817,91.42411126948889,92.7957880108349,1495692
2005-02-24,91.07323455810547,92.66821239625094,90.65854421417652,91.8707234771782,3336610
2005-02-25,89.66967010498047,92.47682764745586,89.31877297842763,91.23274668510821,1471282
2005-02-28,91.90264129638672,93.14672228400711,89.19117849017418,90.59475728992471,2238275
