,Close,return_1d,return_7d,return_30d,MA_50,MA_200,RSI,VIX_lag1,VIX_lag7,CRUDE_lag7,target
2008-10-21,14.574868202209473,-0.014776555962349835,0.12515842589430237,-0.09237001670368372,14.77598834991455,16.197503094673156,54.90125601873582,57.130001068115234,39.33000183105469,77.69999694824219,0
2008-10-22,14.15771198272705,-0.02862161178371292,0.05411621507512954,-0.08843554415848676,14.7405690574646,16.128499851226806,42.58035961105327,56.0,46.4900016784668,81.19000244140625,0
2008-10-23,13.542000770568848,-0.04348945740027732,0.01142821772939695,-0.14344976434008738,14.700640697479248,16.057227330207823,38.54476941349293,54.75,46.4900016784668,78.62999725341797,1
2008-10-24,12.483631134033203,-0.07815459875292763,-0.08614494832230213,-0.190240300633442,14.631595935821533,15.978450922966003,31.961627639140517,54.970001220703125,46.06999969482422,74.54000091552734,1
2008-10-27,11.448949813842772,-0.08288304172731087,-0.18934590754564173,-0.23623754410526654,14.537613277435304,15.894905714988708,27.6943899278275,45.5,47.810001373291016,69.8499984741211,1
2008-10-29,12.649401664733888,0.10485257341591869,-0.14271641825387094,-0.1479753922605228,14.46479824066162,15.821948776245117,39.523466002414274,67.5,46.720001220703125,71.8499984741211,1
2008-10-31,12.325151443481444,-0.025633641009000785,-0.16685159790387782,-0.18116914162343445,14.39402265548706,15.753278446197509,42.44853345921111,68.3499984741211,57.130001068115234,74.25,1
2008-11-03,12.798776626586914,0.038427534564369425,-0.12185987214301619,-0.15987107308842274,14.334410076141358,15.687821521759034,48.93457658870532,68.3499984741211,56.0,70.88999938964844,1
2008-11-04,13.13759994506836,0.026473101950822864,-0.07205345319238499,-0.0982745771864798,14.280710773468018,15.630533027648926,47.94274718876235,67.83999633789062,54.75,66.75,1
2008-11-05,12.849782943725586,-0.02190788291211554,-0.051116362978480656,-0.12773586491105215,14.223880825042725,15.572120170593262,46.34385286587595,62.150001525878906,54.970001220703125,67.83999633789062,1
2008-11-06,12.456310272216797,-0.030620958597663894,-0.0021885348520049863,-0.13628896990921735,14.177273616790771,15.51051703453064,41.96842549878247,66.75,45.5,64.1500015258789,1
2008-11-07,13.409024238586426,0.07648444407286581,0.17120124173954832,-0.03664427758911626,14.160834941864014,15.456150317192078,45.529213053510404,62.150001525878906,67.5,63.220001220703125,1
2008-11-10,13.441811561584473,0.002445168448849344,0.0626440615811732,-0.050566109977092655,14.140555934906006,15.403152475357055,41.10969882609638,67.22000122070312,68.3499984741211,67.5,1
2008-11-11,13.10481071472168,-0.025071088470389857,0.06325758144355986,-0.08659244706976388,14.113393020629882,15.350960435867309,39.013965627080815,63.7599983215332,68.3499984741211,67.80999755859375,1
2008-11-12,13.633082389831545,0.04031127855333416,0.06518636800891775,-0.0392811875412471,14.099025650024414,15.309799447059632,44.11025509142718,66.98999786376953,67.83999633789062,63.90999984741211,1
2008-11-14,13.399913787841797,-0.017103146252799073,0.01996664869308229,-0.054620282858436564,14.085318241119385,15.287821803092957,45.14925013237771,70.62000274658203,62.150001525878906,70.52999877929688,1
2008-11-17,13.660406112670898,0.01943985080452193,0.06308458068866685,-0.03213717189887211,14.069806804656983,15.27614773273468,50.79403512743818,70.08000183105469,66.75,65.30000305175781,1
2008-11-18,13.571145057678224,-0.0065342899952204325,0.08949959988938394,-0.08386648573670052,14.05643072128296,15.261347723007201,58.382492240059825,85.12999725341797,62.150001525878906,60.77000045776367,1
2008-11-19,13.485532760620115,-0.006308406305750247,0.005705748656455123,-0.08014405601747687,14.017099571228027,15.24397053718567,68.38818616265549,64.66000366210938,67.22000122070312,61.040000915527344,1
2008-11-20,13.245076179504396,-0.017830706831093113,-0.014636076482602123,-0.09327838260114285,13.966233119964599,15.219258408546448,56.50618880103463,60.84000015258789,63.7599983215332,62.40999984741211,1
2008-11-21,13.84803581237793,0.0455233042605343,0.05671391322129704,-0.04365316438005473,13.92203062057495,15.199125714302063,65.67894713070733,65.55000305175781,66.98999786376953,59.33000183105469,1
2008-11-24,14.897296905517578,0.07576966924087358,0.09273137794787822,0.04297935880826076,13.909352073669433,15.188123927116393,69.3159266344193,64.45999908447266,70.62000274658203,56.15999984741211,1
2008-11-25,14.893653869628906,-0.00024454341695523407,0.11147385762604167,0.10966319933805857,13.891026515960693,15.180682787895202,67.22662487421663,62.810001373291016,70.08000183105469,57.040000915527344,1
2008-11-26,14.933727264404297,0.002690635563722177,0.09321254003951696,0.15286181860668546,13.881371784210206,15.169593396186828,71.48761939675043,59.560001373291016,85.12999725341797,54.95000076293945,1
2008-11-27,14.933727264404297,0.0,0.10040289164510519,0.11189463948156497,13.880242385864257,15.15572542667389,77.80052489842988,56.209999084472656,64.66000366210938,54.38999938964844,1
2008-11-28,14.98291015625,0.0032934103439088425,0.11103583538074702,0.11904720524536261,13.882974853515625,15.136285490989685,72.15386065157632,56.209999084472656,60.84000015258789,53.619998931884766,1
2008-12-01,14.75702667236328,-0.015076075444028114,0.1141518910399697,0.0802773029328312,13.877072715759278,15.114682030677795,67.55836287306184,57.43999862670898,65.55000305175781,49.619998931884766,1
2008-12-02,14.37630558013916,-0.025799309080136612,0.038147631542737814,0.017928381415672545,13.859912815093994,15.091840381622314,66.7788225694122,55.2599983215332,64.45999908447266,49.93000030517578,1
2008-12-03,14.432779312133787,0.003928250667726951,-0.031181334193033705,-0.02185217362865821,13.857180366516113,15.07313871383667,62.05383338244697,54.29999923706055,62.810001373291016,54.5,1
2008-12-04,14.51111125946045,0.0054273640324291605,-0.025684940278391744,-0.0190863606099817,13.852772045135499,15.05292239665985,67.56915855917748,54.65999984741211,59.560001373291016,50.77000045776367,1
2008-12-05,13.979187965393066,-0.036656275632963586,-0.06391835622219033,-0.04087036867517635,13.84391881942749,15.03637689590454,54.64184550113134,51.84000015258789,56.209999084472656,54.43999862670898,1
2008-12-08,13.862605094909668,-0.008339745539727494,-0.07172503893570714,-0.020844249987386654,13.842789344787597,15.022467684745788,54.21050514268581,52.04999923706055,56.209999084472656,54.43999862670898,1
2008-12-10,14.110352516174316,0.017871635206258674,-0.05823685992748895,0.04196955495975763,13.841842155456543,15.00807071685791,58.62238872322727,50.27999877929688,57.43999862670898,54.43000030517578,1
2008-12-11,13.735092163085938,-0.02659468306395807,-0.06925070557683577,0.10024815821744104,13.829600658416748,14.980098648071289,56.51956113226553,50.36000061035156,55.2599983215332,49.27999877929688,1
2008-12-12,14.055704116821287,0.02334254112957601,-0.02230068507731109,0.22768501437806332,13.826904697418213,14.949458408355714,52.98743432627287,51.75,54.29999923706055,46.959999084472656,1
2008-12-15,14.064810752868652,0.0006478961119043003,-0.02549533608927146,0.11189533905630311,13.824718761444093,14.918908638954163,32.90963333412952,49.43000030517578,54.65999984741211,46.790000915527344,1
2008-12-16,13.82253360748291,-0.01722576646374907,-0.047451751948261345,0.12148996066035411,13.818889636993408,14.887929811477662,29.972893041096953,48.09999847412109,51.84000015258789,43.66999816894531,1
2008-12-17,13.76605987548828,-0.004085628119873674,-0.015246099446720951,0.07557622709752021,13.79794080734253,14.860715084075927,28.30079602335681,44.90999984741211,52.04999923706055,40.810001373291016,1
2008-12-18,14.778886795043944,0.07357420559815342,0.06609736725968873,0.12493049391351696,13.800308876037597,14.840398874282837,47.90948420158111,44.90999984741211,50.27999877929688,43.709999084472656,1
2008-12-19,15.44196319580078,0.0448664645688468,0.09437118442647519,0.20172949717729893,13.81699504852295,14.82384768486023,55.31644037327914,45.4900016784668,50.36000061035156,43.52000045776367,1
2008-12-22,14.766136169433594,-0.04376561566672865,0.07506640611547266,0.18543419734564193,13.822714977264404,14.802352685928344,50.095542662719616,44.90999984741211,51.75,47.97999954223633,1
2008-12-23,14.942834854125977,0.011966480781760325,0.06311535373336485,0.11438644514682772,13.835903568267822,14.777317066192627,56.20756294670651,41.459999084472656,49.43000030517578,46.27999877929688,1
2008-12-24,15.046669960021973,0.00694882242289685,0.06980962804302648,0.11939301418449033,13.86840139389038,14.754311299324035,56.65741312053695,45.70000076293945,48.09999847412109,44.5099983215332,1
